,Name,Author,Link,Category,The Specific Category,State,Description
14,捕星之执宰星河,笨蛋老头,//book.qidian.com/info/1033523308,都市,异术超能,连载,遥望黑夜的星空，宇宙似乎总是一成不变。点点星光凝聚成一张巨大的丝网吞噬着星河万物。捕捉星河之上的奇异，铸造不灭的传奇，一切都从超级玩具工厂开始。
15,大夏文圣,七月未时,//book.qidian.com/info/1033544120,仙侠,古典仙侠,连载,神洲。大夏王朝。永盛十二年。顾锦年穿越而来，惊奇发现这是个仙武并存，王朝主宰的世界。这个世界有儒、道、武、佛、妖、术、剑。自己则成了大夏王朝第一权贵镇国公长孙，自幼锦衣玉食，享万千宠溺。然而顾锦年更是发现，神洲世界有天命之说，五百年定一次天命，得天命者可踏入传说之中的第八境。此番天命为儒道也，故万般皆下品惟有读书高。可最让顾锦年震惊的是，自己的儒道，竟有恐怖异象。下棋落子，金光璀璨，大龙浮现，天地大同，为棋坛圣手。作诗异象，十里花香，百里祥云，千里奇观，为古今诗仙。丹青成真，画龙点睛，落笔有神，墨宝无价，非有诏不得画。文章惊天，旷古烁今，字字珠玑，人人如龙，千古绝唱惊世人。吾名顾锦年，大夏文圣。------已有三万均订作品，《大魏读书人》，两百四十万字完结作品。新书再续儒道热血，主打家国热血，文人风骨，与上本书不同质，有区别，放心入坑。
16,神秘复苏,佛前献花,//book.qidian.com/info/1012584111,仙侠,现代修真,连载,“我叫杨间，当你看到这句话的时候我已经死了......”一张诡异的羊皮卷，一只窥视黑暗的眼睛，这是一个活下来的人经历的故事。——————
17,大奉打更人,卖报小郎君,//book.qidian.com/info/1019664125,仙侠,幻想修仙,完本,《大奉打更人》1-12册实体书已在天猫、京东、当当全平台发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。
18,镇妖博物馆,阎ZK,//book.qidian.com/info/1026722127,悬疑,诡秘悬疑,连载,世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一一浮现，阴影处仍旧有无数邪魔晃动，一间无人问津的博物馆，一面汉武帝时期的刻虎腰牌，让卫渊成为当代最后一位司隶校尉，带他前往古往今来诸多妖异之事。古今稀奇事，子不语怪力乱神，姑妄言之，姑妄听之。姑且斩之。一柄八面汉剑，斩尽魑魅魍魉。生死当定，天道存心。当最后卫渊终于能在和平岁月里，躺着木椅眯眼晒太阳的时候，背后的博物馆里已经封印了无数的妖魔鬼怪。
19,基因大时代,猪三不,//book.qidian.com/info/1023212048,科幻,进化变异,连载,顺风耳、千里眼，均在科学下实现，那么七十二变呢？有人说，科学的尽头是神话。那么基因进化的尽头，是什么？答案，尽在本书中。“老唐，你开启的速度类基因基点，是哪个方向的？”这个问题让唐厅一脸的惆怅。“是......手速......””许退一脸懵。手速.......老师不是说哪方面用的越多，越容易开启基因基点吗？“老唐你到底干啥了？”“照这么说，我这是吃了十八年饭，才开启的胃部基因基点吗？”既将走上饭桶之路的程默仰天长叹。许退摸着自个的脑袋，“难道我这是用了十八年脑？”.......新苗刚出，需要兄弟姐妹们的呵护，360度卖萌打滚求收藏推荐呐。兄弟姐妹们也可以看猪三的老书《造化之王》《掌御星辰》都是精品好书，老肥了。
20,道诡异仙,狐尾的笔,//book.qidian.com/info/1031794030,玄幻,东方玄幻,连载,诡异的天道，异常的仙佛，是真？是假？陷入迷惘的李火旺无法分辨。可让他无法分辨的不仅仅只是这些。还有他自己，他病了，病的很重。
21,我用闲书成圣人,出走八万里,//book.qidian.com/info/1028463573,仙侠,古典仙侠,连载,开局一口棺材。陈洛的穿越从灵堂开始。这是一个读书就能获得超凡威力的世界。读儒门经典，可养浩然正气；读道门典藏，可生先天源炁；读佛门经文，可悟轮回真意；偏偏陈洛的金手指却是一堆天道都不允许在这个世界出现的闲书！……什么？《聊斋》被妖国当做天书？什么？《天龙八部》打开了武学天地？别慌别慌，都是小场面！这位儒生，虎将如云、谋臣如雨的《三国演义》听过吗？那位道士，《封神演义》看过没有？你们道家在里面老牛了！哎，高僧请留步，我这里还有一本《西游记》，你感兴趣吗？……经史子集天上道，说书演义人间貌。你炼阳神他修佛，红尘有我向天笑。
22,我的属性修行人生,滚开,//book.qidian.com/info/1033060374,玄幻,东方玄幻,连载,这是一个现代人回到古代，回到一个完全没有任何超凡的真实世界，靠着将一切数据属性化的异能，慢慢崛起的故事。
23,我的夫人竟是魔教教主,倔强的小肥兔,//book.qidian.com/info/1031527636,玄幻,东方玄幻,连载,青梅：“我家相公妙手回春，医者仁心，是渝州城最有名的大夫........”安景：“我家娘子温柔贤惠，厨艺高超，国色天香.......”............月色中，一轮新的剑雨落下，两道身影相互交错。“夫君，你不是大夫吗？”“夫人，你不是大家闺秀吗？”
24,诡秘之主,爱潜水的乌贼,//book.qidian.com/info/1010868264,玄幻,异世大陆,完本,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。
25,终宋,怪诞的表哥,//book.qidian.com/info/1030453176,历史,架空历史,连载,终宋一朝都未收复燕云，终宋一朝皆被外敌欺侮……南宋将亡之际，那些终宋一朝都没能达成的伟业，他要做到。
26,我的人生可以无限模拟,新亭,//book.qidian.com/info/1032608969,玄幻,高武世界,连载,顾阳穿越到一个高武世界，在一个小村苟了两年，总算攒够了第一桶金，激活了系统，人生模拟器。花费一定金钱，即可进行一次模拟。模拟结束后，可以保留境界，武技，人生智慧三选一。【你当了五年账房先生，攒到钱买了一本功法，十年苦修，成功成为九品武者，遇到敌人，卒！】【你一出山，就是九品，当了某个家族的护院，苦修二十年，突破到第八品，最终，老死于一个小镇。】【你一出山，就是八品，得到一个世家的赏识，被传授高深的武学，由于进步缓慢，被边缘化，十几年后，你终于突破七品，在某次任务中遇到强大的敌人，被杀。】……不知多少次模拟之后，【你遇到的人，没有一个是你的对手。你发现，自己已经无敌了。】
27,红楼之挽天倾,林悦南兮,//book.qidian.com/info/1032610158,历史,架空历史,连载,千红一哭，万艳同悲。白骨如山忘姓氏，无非公子与红妆。后世青年魂穿红楼世界中宁国远亲之上，为了免于被贾府牵连之命运，只好步步为营，然而茫然四顾，发现家国天下，乱世将临，为不使神州陆沉，遍地膻腥，只好提三尺剑，扫不臣，荡贼寇，平鞑虏，挽天倾！这一切，从截胡秦可卿开始……
28,术师手册,听日,//book.qidian.com/info/1025990049,轻小说,原生幻想,连载,1668年，我所在的城市被评为全国治安最好的地区。我对此做出了不可磨灭的贡献。因为我落网了。
29,赤心巡天,情何以甚,//book.qidian.com/info/1016530091,仙侠,古典仙侠,连载,（《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。——————枫林城：1044491349（普群）VIP验证群：327980714
30,凡人修仙传,忘语,//book.qidian.com/info/107580,仙侠,幻想修仙,完本,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！诸位道友，忘语新书《大梦主》，经在起点中文网上传了，欢迎大家继续支持哦！"
31,我在修仙界长生不死,木工米青,//book.qidian.com/info/1031146750,仙侠,古典仙侠,连载,一觉醒来，周易成了天牢狱卒，幸得长生道果，却无护道之法！修仙界妖魔乱世，鬼怪横行，危险重重，周易决定先躲起来修炼几百几千几万年！风云变幻，时光流转。一百年前放走的孩子，成为大乾开国圣祖。一千年前指点的少年，当上仙宗太上长老。一万年前豢养的宠物，变成异域绝世妖王。这是一个长生不死的凡人，坐看沧海桑田，历经纪元更迭，最终成为长生仙尊的故事！
32,宇宙职业选手,我吃西红柿,//book.qidian.com/info/1031581171,科幻,未来世界,连载,融入宇宙文明后，家乡星球为了生存，步履蹒跚地在文明之路上前行。而星球上无数人类，也开始了进化之路……
33,大乘期才有逆袭系统,最白的乌鸦,//book.qidian.com/info/1031148907,仙侠,修真文明,连载,江离穿越过来，发现没有金手指，只能老老实实的修炼，五百年后，他成为九州最强者，突然出现一个系统，说能帮宿主从练气期逆袭成为九州第一人。江离看着第一个任务，陷入沉思。“请宿主打败你的堂哥（练气六层）。”“你这系统延迟的挺严重啊。”【本书欢乐向】
34,开局账号被盗，反手充值一百万,酒剑仙人,//book.qidian.com/info/1033058050,都市,都市生活,连载,本书又名：我就是喜欢较真！买了很久的原魔账号突然被找回，反手充值一百万，不为其他，就想让找回人进去公司因为请病假突然辞退，而且是口头通知，还很嚣张说没有合同，有本事你去告双喜临门，直接一裁两诉走起，双倍工资太香了快递不给送上门而且还口出狂言，一路按照程序投诉到底此外，熊孩子划车，遛狗不牵绳，停车堵车……诸如此类…………来都来了，他还是个孩子，人和狗较什么劲，你怎么这么事多……当很多人都抱着得过且过的思想后，这个社会需要一些认真的人！
35,我的治愈系游戏,我会修空调,//book.qidian.com/info/1025901449,悬疑,侦探推理,连载,警察同志，如果我说这是一款休闲治愈系游戏，你们信吗？
36,大明第一臣,青史尽成灰,//book.qidian.com/info/1031417905,历史,两宋元明,连载,元末濠州城外，朱元璋捡到了一个少年，从此洪武皇帝多了一条臂膀。抗元兵，渡长江，灭陈友谅，伐张士诚。创建大明，光复燕云。我无处不在。从此洪武立国，再无遗憾。大明根基，固若金汤。针对小明王的事情，我们需要采取四阶段战术。首先，我们宣称什么事都没有。其次，我们说或许发生了什么事情，不过我们什么都不用做。再次，我们说或许应该做点什么，可惜什么都做不了。最后，我们很遗憾小明王以身殉国，当初要是做点什么就好了。……有人问：身为太祖第一心腹重臣，如何轻松避过风风雨雨，安享天年？张希孟谦虚地说：“仆只是大明朝卑微的社会公器，用来盛放太祖皇帝深思熟虑的果实！”
37,大国科技,九月酱,//book.qidian.com/info/1033013151,科幻,超级科技,连载,一个来自未来的快递，让叶舟走上了科技强国之路。手握科技人生模拟器，从芯片、量子计算、人工智能，到反物质燃料、空间引擎……一个又一个的未来科技被他提取到现实中，以一己之力推动整个世界的科技进程。……【芯片之殇剧情模拟结束】【完成度100%】【奖励：芯片产业配套技术】【评价：不只是光刻机而已！】提取完奖励的叶舟如释重负。这一场牌局，我们已经打了数千年。而现在，是时候去掀翻他们的牌桌了！
38,此间的男神,周一口鸟,//book.qidian.com/info/1033356064,都市,都市生活,连载,“别和我表白，我真不会拒绝。”“我都和你说过了，我不会拒绝...”
39,神秘之劫,文抄公,//book.qidian.com/info/1030011567,游戏,游戏异界,连载,神秘复苏，诸神黎明，一定是好事么？伴随着灵气复苏所带来的，还有……无解之恐怖！一个奇异的姓氏、一个穿梭两界的灵魂，一段神秘的史诗……
40,艾泽拉斯阴影轨迹,帅犬弗兰克,//book.qidian.com/info/1028005898,游戏,游戏异界,连载,骨灰级玩家穿越魔兽，成了吉安娜的亲哥哥，咱现在也是王子了，为了家族存续着想，我是不是该先把自家妹妹的腿打折，免得她以后成为一个弑亲禽兽？等等？怎么一过来就要先死一次？让我看看攻略。嗯，先触摸额头开启人物面板，然后抄起武器去开了那个兽人的脑壳，如果掉落装备就赚了，没有也不必伤心，洗把手，然后再去找下一个……好了，不开玩笑了，让我们正经一点，重新开始讲这个故事：死亡是一把钥匙，打开新的人生。布莱克.肖手握玩家模板，可以打怪升级，坐拥职业系统，一路高歌猛进。系紧黑夜为披风，手握阴影做利刃，用杀戮磨砺爪牙，以恐惧喂养野心。从风暴王国到奥格瑞玛，他的恶行无人不知，从冰冠冰川到潘达利亚，他的恶名无人不晓。当黑衣帝王破影而出时，整个世界都战栗不休。这就是关于这个人的故事，从黑暗之门六年的卡兹莫丹讲起...
41,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
42,我在1982有个家,全金属弹壳,//book.qidian.com/info/1031440041,都市,都市生活,连载,王忆得到一枚钥匙，在2022年打开一扇门会去往1982年，在1982年打开一扇门会回到2022年。两个截然不同的大时代出现在他面前：充沛的饮食保障，发达的工业产品，神效的医药，爆炸的信息，这是2022。淳朴的民风乡情，丰富的野生资源，流落的古董，年代的珍宝，这是1982。穿梭在这两个时代，王忆没有太大的念想，他就是想把小日子过的有滋有味。
43,我就是神！,历史里吹吹风,//book.qidian.com/info/1029247985,玄幻,异世大陆,连载,五亿年前。寒武纪。尹神降临在最远古的蛮荒大地和原始海洋之上，他是一切的开端，他创造了智慧和生命，他是众生的造物主。时间的流逝里，故事化为史诗，史诗化为神话，最终神话也被埋葬在岁月之中。唯神永恒。
44,我有一枚两界印,西瓜吃葡萄,//book.qidian.com/info/1031135409,仙侠,神话修真,连载,拥有一枚玉印，可以自由穿越异世界。本来以为就是个平平无奇的古代世界，胸无大志的陆征准备当个自由的小倒爷，享受财主生活，找几个红袖添香，逛吃逛吃的过完这朴实无华且枯燥无味的一生。直到……施舍了门口乞丐一顿饭，玉印得到了几缕气运……狐女日至，倩鬼夜来。全真上门，禅师拦路。原来，这个世界不简单……
45,重生之似水流年,苍山月,//book.qidian.com/info/1027551057,都市,都市生活,连载,一个伤痕累累的中年灵魂倒退回时光里，拥抱98年的斑驳阳光。蓦然发现，原来那时少年正好，岁月飘香。原来犯错才叫成长，青春可以如此飞扬...
46,在美漫当心灵导师的日子,遇牧烧绳,//book.qidian.com/info/1032768092,轻小说,衍生同人,连载,原书名《美漫：开局指导蝙蝠侠》一朝穿越，席勒成了蝙蝠侠的老师，哥谭大学心理学教授。刚来第一天，布鲁斯·韦恩就进了心理诊室。席勒只得打开美漫聊天系统，发了第一条帖子:蝙蝠侠问我人生的意义，该怎么回答？在线等挺急的。席勒·安戴尔·罗德里格斯，世界级犯罪心理学大师，哥谭大学最知名的心理学教授，他的学生既有超级英雄，也有超级罪犯，但他却不属于其中任何一个，蝙蝠侠喜欢称他为“教授”，小丑把他念作“最冷静的疯子”，稻草人叫他“阿卡姆漏网之鱼”，尼克·弗瑞认为他是“脱罪家”。做蝙蝠侠的老师、小蜘蛛的教父、钢铁侠的心理医生，席勒的美漫之旅，从开局指导蝙蝠侠开始。综美漫（包含电影宇宙），DC漫威及其他漫画，不虐主，配角不降智。（别在意书名！不是工作室文！不是聊天群！系统没啥存在感！正准备改名了！真的正在改了！）
47,全职艺术家,我最白,//book.qidian.com/info/1022282526,都市,娱乐明星,连载,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。
48,这个明星很想退休,幼儿园一把手,//book.qidian.com/info/1029510590,都市,娱乐明星,连载,众人：“不！你不想！”
49,朕,王梓钧,//book.qidian.com/info/1028520538,历史,两宋元明,连载,回到明末，沦落为奴。这皇帝，乞丐做得，建奴做得，流寇做得，家奴就做不得？
50,精灵世界的底层训练家,说唱鸽,//book.qidian.com/info/1029939166,轻小说,衍生同人,连载,【更新日万，月40万+！】感谢联盟归还精灵世界安静祥和，因为我这个“底层”的训练家，跳反了。——源自“底层”训练家、培育家夏彦的《自述》
51,综武：七侠镇说书，开局结拜乔峰,上官大锤,//book.qidian.com/info/1033378681,玄幻,东方玄幻,连载,陆言穿越武综世界，觉醒说书人系统，只要说书就有奖励，人气越高奖励就越丰厚。于是陆言来到七侠镇同福客栈，干起了说书这一行当。“我以我命为拜帖，恭迎世子入江湖！”“金鳞岂是池中物，一遇风云便化龙！”“江左梅郎，麒麟之才，得之可安天下！”一部部经典小说被陆言娓娓道来，引得满堂喝彩，天下群雄震动。且看陆言如何稳坐高台上，锐评天下事！书友群:814620738
52,华娱1997,胖一点,//book.qidian.com/info/1027700830,都市,娱乐明星,连载,1997年初，获得了后世资深娱乐小编记忆的曹轩，参演央视四大名著最后一部的《水浒传》。史上最帅西门大官人出炉……
53,LOL：这个男人太强了！,一片苏叶,//book.qidian.com/info/1031260171,游戏,电子竞技,连载,李昊，有人叫他日天哥，还有人喊他蔑视哥。他是一坛S2陈酿，是旧时代的残党，号称‘老将’，在联盟中一直蹉跎。突然，他有挂了！……多年后，‘暮年’的大魔王正在下山，他仰头一看，和自己同一时代的LPL老神竟然还在巅峰！棒子粉丝：“不要慌，明年是最好的机会，他又老了一岁，一定不行了。”老60e：“那不是废砖，是我们的王朝基石啊！呜呜呜.....”方块龙：“这个人怪得很！”嫖老师：“当初我站在黄浦江边，这个人站在那里望着江水，当时我就觉得他不凡。”妹子粉丝：“我们最心疼哥哥~”法王：“面对这个人，就算我有芙蓉王也打不过。”……整肃联盟画风，LPL新神话。传说，就从那被踢翻的饮水机开始！……
54,高天之上,阴天神隐,//book.qidian.com/info/1032977639,奇幻,史诗奇幻,连载,“我根本不关心这个世界的人活的怎么样，吃的饱不饱，能不能穿暖住好，有没有梦想希望。我不在乎他们的爱憎。”“只是如果想要前往高天之上，需要一个完整的高等工业体系，一整套相关研究所，最先进的材料学实验室和一个能统筹一切部门的大政府。它要无数衣食无忧的国民为此奉献财富，需要几百万个高等知识分子为此贡献自己的头脑，数万不同的配套厂家供应最好的零部件。”“总之，需要一个富足的世界，一个伟大的文明才能完成它。”——伊恩一个自废墟中重生的世界。一轮即将迎来终结的纪元。一群在大地上争权夺利，为财富与力量而战的囚徒。一位凝望高天的少年。囚徒们从命运的窗里向外看，大都凝视泥土。唯有一个仰望着星。
55,天启预报,风月,//book.qidian.com/info/1014180485,奇幻,现代魔法,连载,“我想要挨一顿毒打……”——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能用了……只不过，这似乎并不是一件好事。为了赚钱和苟命，他一不小心踏入了这个危险世界。现境之外的边境，日常之后的异常。天文会，绿日、黄金黎明、存世余孽与诸界天敌……究竟是生存还是灭亡？这是个问题。那么，就在这一万零一种拯救世界的方法中，选一个通往HAPPYEND的方向吧。
56,长夜余火,爱潜水的乌贼,//book.qidian.com/info/1023422452,玄幻,异世大陆,完本,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。
57,诸界第一因,裴屠狗,//book.qidian.com/info/1029701421,玄幻,东方玄幻,连载,浩瀚的世界重新焕发生机，远去的神魔即将归来。持一口暴食之鼎，法学生杨狱穿越而来，于边陲小镇睁眼看这似是而非的世界。他看到无垠大地之上，古老的王朝濒临末路，烽火中龙蛇四起。他看到连年征战，民不聊生。千户之地，瞬息尽成白地，万乘之国，弹指化作云烟。他看到有童子挥舞红绫舞动四海。他看到猎户立于山巅，弯弓向天。他看到巨人立地顶天，咆哮间，山河皆碎。他看到九霄云中仙神盘踞，谈笑间，沧海桑田。杨狱沉默、迷惘、压抑，直至，发出惊天怒吼：“大丈夫生当五鼎食，死亦五鼎烹！”“我这一生，绝不碌碌！”…………已有老书《诸天投影》《大道纪》，喜欢的朋友可以去看看。
58,仙子很凶,关关公子,//book.qidian.com/info/1026684143,仙侠,幻想修仙,连载,左凌泉刚出生，便拥有了凡人能拥有的一切。名门贵子、俊美无双、家财万贯……但蹒跚学步之时，却发现这世界不属于凡人。妖鬼精怪、御风而行、大道长生……毫不意外，左凌泉踏上了追寻长生的路途。高人曾言：九域莽荒，太虚无迹。修行一道，如长夜无灯而行，激流无桥而渡。我辈修士，当谋而后动，万事‘从心’。左凌泉谨记教诲，就此凡事顺应心意，为所欲为……-------PS：已有万订完本作品《世子很凶》，多主角架空武侠，有兴趣的大佬可以瞅一眼。书友群：1012109860（V群敲管理）
59,陈医生，别怂！,手握寸关尺,//book.qidian.com/info/1033731887,都市,都市生活,连载,【叮！你收到了来自患者的恶意投诉，获得系统补偿奖励！】如果你有一个差评补偿系统，你会选择成为什么样的人？！陈南选择做一个好人。一个敢说真话的人。一个光明磊落的人。一个不畏强权的人。一个绝不妥协的人。一个面对这群魔乱舞时代，绝不认怂的人！为众人抱薪者，不可使其冻毙于风雪！为苍生治水者，不可使其沉溺于湖海！为当下奋斗者，不可使其淹没于尘埃！为未来奠基者，不可使其从宽而入窄！悲兮叹兮，若善者不得善终，恶者可更恶乎？泱泱之邦，我陈南愿守医德，明是非，无苟且，尽真言，以求悲剧不复！我若为医，便要做那顶天立地，不为苟且，光明磊落的医！
